lat,lon,ap
40.10459828,-88.21961228,25
40.10473307,-88.21957673,39
40.10479744,-88.2196004,36
40.10483731,-88.21969635,43
40.10486365,-88.21978749,88
40.10488872,-88.21987728,25
40.10491833,-88.21994745,24
40.10494168,-88.22001524,24
40.10496002,-88.22006877,34
40.10497376,-88.22018761,48
40.10498786,-88.22027066,27
40.10498887,-88.2203441,27
40.1059916,-88.219851,31
40.10497421,-88.22056152,37
40.1049652,-88.2205382,11
40.10496231,-88.22052926,13
40.10496227,-88.22052887,8
40.1049624,-88.22052885,15
40.10523968,-88.22161157,31
40.10530892,-88.22283623,16
40.10531191,-88.22295147,16
40.1053167,-88.22306775,16
40.1053234,-88.22318135,27
40.10532444,-88.22329286,32
40.10531376,-88.22339651,39
40.10532983,-88.22354906,41
40.10534536,-88.2236045,44
40.1060329,-88.2239679,34
40.10535813,-88.22370685,34
40.10592794,-88.22373324,50
40.10610087,-88.22375241,25
40.10620053,-88.22377104,20
40.1062975,-88.2237971,31
40.10639591,-88.22380147,39
40.10709399,-88.22381711,50
40.10720347,-88.22382974,16
40.10731679,-88.22386143,31
40.10876149,-88.22385124,37
40.10883362,-88.22384741,68
40.10890976,-88.22383151,42
40.10900664,-88.22383092,42
40.10911271,-88.22383796,55
40.10924147,-88.22386544,55
40.10985257,-88.22387148,41
40.10995364,-88.22388693,33
40.11006355,-88.22387762,102
40.1102443,-88.22383592,120
40.11031304,-88.22383418,48
40.11036485,-88.22385632,48
40.11039992,-88.22387231,47
40.1104168,-88.2238639,47
40.11041424,-88.2238403,53
40.11163453,-88.22392412,76
40.11281073,-88.22385896,65
40.11298137,-88.22387603,53
40.11335372,-88.22389055,58
40.11380756,-88.22395313,47
40.11412215,-88.22392231,32
40.11422185,-88.22392695,20
40.1143104,-88.22392663,37
40.11445342,-88.22401138,51
40.1130749,-88.2240752,57
40.11457543,-88.22403883,54
40.11464956,-88.22402609,58
40.1147295,-88.2240278,52
40.11629556,-88.22439652,75
40.11627033,-88.22450907,34
40.11627115,-88.2246175,37
40.11627568,-88.22473151,31
40.11627501,-88.22494057,36
40.11628061,-88.22504207,38
40.11629631,-88.2251283,32
40.11630355,-88.22522069,38
40.11630435,-88.22532529,38
40.11630281,-88.22543704,28
40.11532127,-88.22568354,35
40.11527356,-88.22573953,7
40.11520853,-88.22574783,12
40.11510916,-88.22576121,12
40.1150317,-88.22575963,18
40.11481949,-88.22574803,41
40.11467051,-88.2257654,31
40.1135646,-88.2251279,39
40.11449994,-88.22594248,31
40.11447965,-88.2259997,52
40.11445657,-88.22605742,31
40.11444789,-88.22613039,42
40.11446126,-88.22623086,42
40.11447983,-88.22635761,100
40.11451074,-88.22657296,116
40.1144828,-88.22665408,47
40.11447874,-88.22673867,47
40.11448126,-88.22682962,61
40.1145355,-88.22697336,114
40.11456029,-88.22704041,81
40.11468629,-88.22709117,75
40.1145017,-88.227097,73
40.11474134,-88.22706062,99
40.11480097,-88.22703551,99
40.11491617,-88.22702786,145
40.11503149,-88.22700769,216
40.11513813,-88.22700527,82
40.1151779,-88.22750199,120
40.11515976,-88.22755198,53
40.11511435,-88.22760205,85
40.1144468,-88.2271963,85
40.11494366,-88.22761729,103
40.11472511,-88.22754626,103
40.11463026,-88.22748368,71
40.11453931,-88.22828923,74
40.11455447,-88.22835809,12
40.11455715,-88.22850016,30
